Yr,WofY,AllVisits,RespFeverILI,pctRespFeverILI,Week
2004,1,1054,212,0.201138519924099,1
2004,2,2014,317,0.157398212512413,2
2004,3,2037,243,0.119293078055965,3
2004,4,1991,257,0.129080863887494,4
2004,5,1956,290,0.148261758691207,5
2004,6,2033,271,0.133300541072307,6
2004,7,2117,327,0.154463863958432,7
2004,8,2114,366,0.173131504257332,8
2004,9,2229,362,0.162404665769403,9
2004,10,2291,411,0.179397642950677,10
2004,11,2313,395,0.170773886727194,11
2004,12,2205,337,0.152834467120181,12
2004,13,2264,366,0.161660777385159,13
2004,14,2967,427,0.14391641388608,14
2004,15,3861,592,0.153328153328153,15
2004,16,3754,527,0.140383590836441,16
2004,17,3729,491,0.131670689192813,17
2004,18,3606,419,0.116195230171936,18
2004,19,3525,384,0.108936170212766,19
2004,20,3737,433,0.115868343591116,20
2004,21,3758,385,0.102448110697179,21
2004,22,3760,420,0.111702127659574,22
2004,23,3587,387,0.107889601338166,23
2004,24,3739,370,0.0989569403583846,24
2004,25,3652,317,0.0868017524644031,25
2004,26,3617,334,0.0923417196571745,26
2004,27,3679,373,0.101386246262571,27
2004,28,3580,313,0.0874301675977654,28
2004,29,3815,320,0.0838794233289646,29
2004,30,3886,335,0.0862068965517241,30
2004,31,3802,322,0.0846922672277749,31
2004,32,3888,337,0.0866769547325103,32
2004,33,3647,288,0.0789690156292843,33
2004,34,3772,291,0.0771474019088017,34
2004,35,3584,259,0.072265625,35
2004,36,3637,281,0.0772614792411328,36
2004,37,3883,288,0.0741694566057172,37
2004,38,3808,361,0.0948004201680672,38
2004,39,3976,396,0.0995975855130785,39
2004,40,3774,411,0.108903020667727,40
2004,41,3661,393,0.107347719202404,41
2004,42,3632,416,0.114537444933921,42
2004,43,3562,428,0.120157215047726,43
2004,44,3625,415,0.11448275862069,44
2004,45,3614,455,0.12589928057554,45
2004,46,3533,448,0.126804415510897,46
2004,47,3630,514,0.141597796143251,47
2004,48,3510,486,0.138461538461538,48
2004,49,3426,494,0.144191476941039,49
2004,50,3506,444,0.126640045636052,50
2004,51,3260,449,0.137730061349693,51
2004,52,3113,469,0.150658528750402,52
2005,1,731,98,0.13406292749658,53
2005,2,4734,579,0.122306717363752,54
2005,3,4408,532,0.120689655172414,55
2005,4,4171,566,0.135698873171901,56
2005,5,4341,627,0.144436765722184,57
2005,6,4998,932,0.186474589835934,58
2005,7,5100,979,0.191960784313725,59
2005,8,5157,1048,0.203218925732015,60
2005,9,4975,956,0.1921608040201,61
2005,10,4706,900,0.191245218869528,62
2005,11,4787,809,0.168999373302695,63
2005,12,4593,767,0.166993250598737,64
2005,13,4918,788,0.160227734851566,65
2005,14,4736,570,0.12035472972973,66
2005,15,4750,565,0.118947368421053,67
2005,16,4968,614,0.123590982286634,68
2005,17,4912,581,0.118281758957655,69
2005,18,4556,563,0.123573309920983,70
2005,19,4815,511,0.106126687435099,71
2005,20,4948,589,0.119037995149555,72
2005,21,4823,568,0.117769023429401,73
2005,22,4928,569,0.115462662337662,74
2005,23,4870,429,0.0880903490759754,75
2005,24,4879,356,0.0729657716745235,76
2005,25,4787,423,0.0883643200334239,77
2005,26,4684,325,0.0693851409052092,78
2005,27,5040,416,0.0825396825396825,79
2005,28,5049,455,0.0901168548227372,80
2005,29,5043,429,0.0850684116597264,81
2005,30,5212,487,0.0934382194934766,82
2005,31,4994,402,0.0804965959150981,83
2005,32,5087,435,0.0855120896402595,84
2005,33,5211,409,0.0784878142391096,85
2005,34,4716,363,0.076972010178117,86
2005,35,4753,344,0.072375341889333,87
2005,36,6475,484,0.0747490347490347,88
2005,37,6671,584,0.0875430969869585,89
2005,38,6777,674,0.0994540357090158,90
2005,39,6875,742,0.107927272727273,91
2005,40,6611,742,0.112237180456814,92
2005,41,7019,838,0.119390226527995,93
2005,42,6513,811,0.124520190388454,94
2005,43,6657,775,0.116418807270542,95
2005,44,6406,826,0.128941617233843,96
2005,45,6580,838,0.127355623100304,97
2005,46,6503,803,0.123481470090727,98
2005,47,6457,842,0.130401115068917,99
2005,48,6389,829,0.129754265143215,100
2005,49,6253,735,0.117543579082041,101
2005,50,6057,779,0.128611523856695,102
2005,51,5858,733,0.125128030044384,103
2005,52,6118,781,0.127656096763648,104
2006,1,10385,1389,0.133750601829562,105
2006,2,9922,1065,0.107337230397097,106
2006,3,9601,1015,0.105718154358921,107
2006,4,9815,1225,0.124808965868569,108
2006,5,10040,1331,0.132569721115538,109
2006,6,9960,1349,0.135441767068273,110
2006,7,9902,1251,0.126338113512422,111
2006,8,10315,1489,0.144352884149297,112
2006,9,10572,1671,0.158059023836549,113
2006,10,11382,2027,0.178088209453523,114
2006,11,11043,1921,0.17395635244046,115
2006,12,10592,1583,0.149452416918429,116
2006,13,10623,1428,0.134425303586557,117
2006,14,11053,1416,0.12811001538044,118
2006,15,11392,1411,0.123858848314607,119
2006,16,11256,1329,0.118070362473348,120
2006,17,10833,1158,0.106895596787593,121
2006,18,11141,1148,0.103042814828112,122
2006,19,11269,1139,0.101073742124412,123
2006,20,10892,1054,0.0967682702901212,124
2006,21,11410,1159,0.101577563540754,125
2006,22,11847,1057,0.089220899805858,126
2006,23,11922,946,0.0793491024995806,127
2006,24,11725,1024,0.0873347547974414,128
2006,25,11872,991,0.0834737196765499,129
2006,26,11964,999,0.0835005015045135,130
2006,27,12530,1125,0.0897845171588188,131
2006,28,12183,994,0.0815890995649676,132
2006,29,12632,1123,0.0889012032932236,133
2006,30,12580,968,0.0769475357710652,134
2006,31,12813,1109,0.0865527198938578,135
2006,32,12719,1031,0.0810598317477789,136
2006,33,12089,802,0.0663413020100918,137
2006,34,11853,765,0.064540622627183,138
2006,35,11332,790,0.0697140840098835,139
2006,36,11507,862,0.0749109237855219,140
2006,37,11441,948,0.0828598898697666,141
2006,38,11841,1120,0.0945866058609915,142
2006,39,11406,1105,0.0968788357005085,143
2006,40,11515,1305,0.113330438558402,144
2006,41,11587,1333,0.11504272028998,145
2006,42,11330,1200,0.105913503971756,146
2006,43,11238,1193,0.106157679302367,147
2006,44,11065,1221,0.110347943967465,148
2006,45,11533,1320,0.114454174976155,149
2006,46,11536,1361,0.117978502080444,150
2006,47,11213,1332,0.1187906893784,151
2006,48,11086,1460,0.131697636658849,152
2006,49,11182,1501,0.134233589697729,153
2006,50,11816,1649,0.139556533513879,154
2006,51,11881,1861,0.156636646746907,155
2006,52,13041,2854,0.218848247833755,156
2007,1,11126,1987,0.17859068847744,157
2007,2,11420,1704,0.149211908931699,158
2007,3,10844,1421,0.131040206565843,159
2007,4,11042,1534,0.138924107951458,160
2007,5,11433,1900,0.166185603078807,161
2007,6,11599,2022,0.174325372876972,162
2007,7,11589,2013,0.173699197514885,163
2007,8,11835,1902,0.160709759188847,164
2007,9,11484,1785,0.155433646812957,165
2007,10,11459,1498,0.130726939523519,166
2007,11,11028,1370,0.124229234675372,167
2007,12,11353,1318,0.116092662732317,168
2007,13,11184,1268,0.113376251788269,169
2007,14,11307,1455,0.128681347837623,170
2007,15,11651,1470,0.126169427516951,171
2007,16,11761,1448,0.123118782416461,172
2007,17,11936,1387,0.11620308310992,173
2007,18,12183,1343,0.110235574160716,174
2007,19,12308,1334,0.108384790380241,175
2007,20,12058,1245,0.103250953723669,176
2007,21,12562,1314,0.104601178156345,177
2007,22,12318,1214,0.0985549602208151,178
2007,23,11971,1106,0.092389942360705,179
2007,24,12349,1056,0.085512997003806,180
2007,25,12288,1088,0.0885416666666667,181
2007,26,12226,1088,0.0889906756093571,182
2007,27,12314,1096,0.0890043852525581,183
2007,28,12397,1036,0.0835686053077357,184
2007,29,12410,940,0.0757453666398066,185
2007,30,12506,973,0.0778026547257317,186
2007,31,12829,1013,0.0789617273365032,187
2007,32,13081,1126,0.0860790459444997,188
2007,33,12429,931,0.0749054630300105,189
2007,34,11880,836,0.0703703703703704,190
2007,35,12237,867,0.0708506987006619,191
2007,36,12079,955,0.0790628363275106,192
2007,37,11854,934,0.0787919689556268,193
2007,38,11890,1036,0.0871320437342304,194
2007,39,12390,1277,0.103066989507667,195
2007,40,12331,1284,0.104127807963669,196
2007,41,12147,1432,0.117889190746686,197
2007,42,12010,1295,0.107826810990841,198
2007,43,12182,1333,0.10942373994418,199
2007,44,11914,1364,0.114487157965419,200
2007,45,12217,1519,0.124334943112057,201
2007,46,12431,1611,0.129595366422653,202
2007,47,11835,1484,0.125390790029573,203
2007,48,11667,1373,0.117682351932802,204
2007,49,11413,1266,0.110926136861474,205
2007,50,11775,1311,0.111337579617834,206
2007,51,11405,1385,0.121437965804472,207
2007,52,12387,1931,0.155889238718011,208
2008,1,8957,1199,0.133861784079491,209
2008,2,12340,1416,0.114748784440843,210
2008,3,11773,1381,0.117302301877177,211
2008,4,11522,1395,0.121072730428745,212
2008,5,11744,1551,0.132067438692098,213
2008,6,12374,1726,0.139486019072248,214
2008,7,15280,2085,0.136452879581152,215
2008,8,17212,2683,0.155879618870555,216
2008,9,16711,2617,0.156603434863264,217
2008,10,16608,2756,0.165944123314066,218
2008,11,16881,2845,0.168532669865529,219
2008,12,16248,2473,0.152203348104382,220
2008,13,16127,2370,0.146958516773113,221
2008,14,15881,2414,0.15200554121277,222
2008,15,16117,2502,0.155239808897437,223
2008,16,16367,2497,0.152563084254903,224
2008,17,16282,2245,0.137882324038816,225
2008,18,15715,2010,0.127903277123767,226
2008,19,16164,1882,0.116431576342489,227
2008,20,16033,1858,0.115885985155617,228
2008,21,15898,1812,0.113976600830293,229
2008,22,15823,1626,0.102761802439487,230
2008,23,16196,1628,0.100518646579402,231
2008,24,16437,1610,0.0979497475208371,232
2008,25,16074,1577,0.0981087470449173,233
2008,26,16217,1635,0.100820127027194,234
2008,27,18403,1911,0.103841764929631,235
2008,28,18038,1743,0.0966293380640869,236
2008,29,18380,1711,0.0930903155603917,237
2008,30,18237,1645,0.0902012392389099,238
2008,31,18844,1590,0.0843769900233496,239
2008,32,18724,1626,0.08684041871395,240
2008,33,17525,1495,0.0853067047075606,241
2008,34,18078,1422,0.0786591437105875,242
2008,35,18362,1549,0.0843590022873325,243
2008,36,18266,1546,0.0846381254790321,244
2008,37,17599,1566,0.0889823285413944,245
2008,38,17855,1811,0.101428171380566,246
2008,39,17934,2021,0.112690978030556,247
2008,40,17446,2077,0.119053078069472,248
2008,41,18096,2142,0.118368700265252,249
2008,42,17850,2305,0.129131652661064,250
2008,43,17207,2018,0.117277852036962,251
2008,44,16779,1928,0.114905536682758,252
2008,45,17579,2096,0.119233175948575,253
2008,46,17326,2093,0.120801108161145,254
2008,47,16432,1931,0.117514605647517,255
2008,48,16255,1979,0.121747154721624,256
2008,49,16182,1963,0.121307625757014,257
2008,50,15658,1826,0.116617703410397,258
2008,51,15449,1908,0.123503139361771,259
2008,52,15981,2494,0.156060321631938,260
2009,1,8813,1459,0.165550890729604,261
2009,2,18739,2492,0.132984684348151,262
2009,3,17592,2196,0.124829467939973,263
2009,4,18173,2386,0.131293677433555,264
2009,5,18212,2693,0.147869536569295,265
2009,6,19961,3197,0.160162316517209,266
2009,7,20335,3635,0.178755839685272,267
2009,8,20903,3932,0.188106970291346,268
2009,9,19771,3479,0.175964796924789,269
2009,10,20669,3636,0.175915622429726,270
2009,11,20641,3511,0.170098347948258,271
2009,12,21037,3383,0.160811902837857,272
2009,13,20971,3105,0.148061608888465,273
2009,14,20817,2693,0.129365422491233,274
2009,15,21022,2830,0.134620873370754,275
2009,16,21337,2761,0.129399634437831,276
2009,17,20965,2580,0.123062246601479,277
2009,18,21294,2948,0.138442753827369,278
2009,19,21033,2775,0.131935529881615,279
2009,20,20772,2605,0.125409204698633,280
2009,21,21419,2625,0.122554741117699,281
2009,22,20505,2209,0.107729821994635,282
2009,23,20647,2120,0.102678355208989,283
2009,24,21014,2236,0.10640525364043,284
2009,25,21127,2313,0.109480759218062,285
2009,26,21722,2388,0.109934628487248,286
2009,27,22866,2531,0.110688358261174,287
2009,28,22518,2251,0.0999644728661515,288
2009,29,22818,2094,0.0917696555351039,289
2009,30,22877,1985,0.0867683699785811,290
2009,31,23679,2034,0.0858988977575067,291
2009,32,23851,2110,0.0884658924154123,292
2009,33,23701,2014,0.084975317497152,293
2009,34,24784,2328,0.0939315687540349,294
2009,35,23754,2087,0.0878588869243075,295
2009,36,22847,2023,0.0885455420842999,296
2009,37,24048,2326,0.0967232202262142,297
2009,38,23308,2264,0.0971340312339111,298
2009,39,23952,2775,0.115856713426854,299
2009,40,23279,3022,0.129816572876842,300
2009,41,24176,3459,0.143075777630708,301
2009,42,24352,4322,0.177480289093298,302
2009,43,26551,6297,0.237166208429061,303
2009,44,29629,10611,0.35812886023828,304
2009,45,26942,8314,0.30858882042907,305
2009,46,24169,5311,0.219744300550292,306
2009,47,22082,3680,0.166651571415633,307
2009,48,21928,3030,0.138179496534112,308
2009,49,22058,2833,0.128434128207453,309
2009,50,20866,2815,0.134908463529186,310
2009,51,21396,2869,0.134090484202655,311
2009,52,21568,3423,0.15870734421365,312
2010,1,8746,1480,0.169220214955408,313
2010,2,27036,3459,0.127940523746116,314
2010,3,26583,3093,0.116352556144905,315
2010,4,27560,3398,0.123294629898403,316
2010,5,27113,3532,0.130269612363073,317
2010,6,28025,3750,0.133809099018733,318
2010,7,28905,4017,0.13897249610794,319
2010,8,29884,4273,0.142986213358319,320
2010,9,28617,3994,0.139567390012929,321
2010,10,29348,3957,0.134830312116669,322
2010,11,29570,4063,0.137402773080825,323
2010,12,28633,3974,0.138790905598435,324
2010,13,28879,3773,0.130648568163718,325
2010,14,29480,3719,0.126153324287653,326
2010,15,29845,3812,0.127726587368068,327
2010,16,29147,3524,0.120904381239922,328
2010,17,29171,3255,0.111583421891605,329
2010,18,29225,3274,0.112027373823781,330
2010,19,29658,3100,0.104524917391598,331
2010,20,28575,3079,0.107751531058618,332
2010,21,30453,3198,0.105014284306965,333
2010,22,31531,3347,0.106149503663062,334
2010,23,30958,3019,0.0975192195878287,335
2010,24,29294,2710,0.0925104116884004,336
2010,25,29892,2782,0.0930683794995316,337
2010,26,31469,2990,0.0950141409005688,338
2010,27,32433,3135,0.0966608084358524,339
2010,28,34125,3244,0.0950622710622711,340
2010,29,33722,3248,0.0963169444279699,341
2010,30,33626,2929,0.0871052162017486,342
2010,31,33299,2856,0.0857683413916334,343
2010,32,34345,2950,0.0858931431067113,344
2010,33,32896,2614,0.0794625486381323,345
2010,34,32160,2607,0.0810634328358209,346
2010,35,31338,2487,0.0793605207735018,347
2010,36,31737,2512,0.0791505183224627,348
2010,37,31088,2628,0.0845342254246011,349
2010,38,30402,2779,0.0914084599697388,350
2010,39,31719,3390,0.106876004918188,351
2010,40,31395,3624,0.115432393693263,352
